Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"C. Miles Ind - SG,SF",66,229,237,3.5,8.4,0.413,1.3,1.7,0.789,2.0,10.2,0.3,2.1,2.4,0.9,0.7,0.4,1.0
"S. Livingston GS - PG,SG",77,230,209,2.4,4.7,0.506,0.9,1.2,0.791,0.0,5.7,0.5,1.6,2.1,2.9,0.6,0.3,2.8
S. Larkin Bkn - PG,0,231,460,,,0.000,,,0.000,,,,,,,,,0.0
"J. Hill Min - PF,C",71,232,212,3.4,6.8,0.493,1.2,1.6,0.732,0.0,7.9,1.9,3.6,5.5,1.0,0.4,0.5,0.9
"L. Scola Bkn - PF,C",75,233,191,3.8,8.6,0.446,1.1,1.5,0.714,0.7,9.4,1.3,3.9,5.2,1.0,0.6,0.4,0.9
"D. Arthur Den - PF,C",67,234,247,2.9,6.5,0.449,0.6,0.8,0.788,0.5,7.0,1.0,2.6,3.6,1.2,0.7,0.6,1.6
C. Aldrich Min - C,67,235,197,2.4,4.4,0.554,1.1,1.4,0.747,0.0,6.0,1.5,3.8,5.3,1.0,0.9,1.2,0.8
I. Smith Det - PG,75,236,194,3.3,8.1,0.404,1.1,1.6,0.681,0.5,8.2,0.4,2.3,2.7,4.3,0.7,0.2,2.6
T. Booker Bkn - PF,78,237,140,3.2,6.7,0.484,1.2,1.8,0.638,0.3,7.9,2.5,4.4,6.9,1.4,0.8,0.6,1.0
"C. Frye Cle - PF,C",73,238,244,2.5,5.7,0.436,0.4,0.5,0.811,1.6,7.0,0.5,2.8,3.3,1.1,0.4,0.4,1.8
"H. Thompson Phi - SG,SF",75,239,228,2.9,7.1,0.413,0.7,1.0,0.724,1.9,8.4,0.7,2.4,3.0,1.1,0.5,0.3,1.3
"J. Smith Was - PF,C",78,240,225,3.2,6.7,0.471,0.9,1.1,0.791,0.1,7.3,1.0,2.4,3.4,1.0,0.4,0.8,1.1
I. Canaan Chi - PG,72,241,295,2.2,5.7,0.382,1.1,1.3,0.821,1.4,6.9,0.2,1.2,1.4,1.2,0.4,0.1,1.5
C. Joseph Tor - PG,78,242,145,3.4,7.6,0.454,1.7,2.1,0.782,0.4,8.9,0.5,2.2,2.7,3.1,0.8,0.2,2.8
"R. Felton LAC - PG,SG",71,243,233,2.6,6.5,0.402,1.4,1.7,0.800,0.6,7.2,0.5,2.0,2.5,3.0,0.7,0.2,2.2
"C. Brewer Hou - SG,SF",81,244,246,2.3,5.8,0.403,1.1,1.6,0.732,0.7,6.5,0.5,1.9,2.4,1.2,1.0,0.2,1.3
A. Baynes Det - C,76,245,251,2.2,4.1,0.540,1.4,1.8,0.796,0.0,5.9,1.4,2.7,4.2,0.5,0.3,0.5,0.7
T. McConnell Phi - PG,79,246,149,2.6,5.6,0.462,0.5,0.7,0.696,0.5,6.1,0.5,2.5,2.9,4.3,1.1,0.1,2.8
"J. Barea Dal - PG,SG",76,247,203,3.7,8.6,0.424,0.9,1.2,0.787,1.1,9.3,0.3,1.7,2.0,3.7,0.3,0.0,2.6
"J. Leuer Det - PF,C",71,248,216,3.1,6.3,0.487,1.0,1.4,0.745,0.6,7.7,1.0,3.7,4.7,1.0,0.6,0.3,1.2
"J. Grant Phi - SF,PF",72,249,241,2.5,6.0,0.413,2.0,3.1,0.655,0.5,7.5,1.0,2.6,3.6,1.4,0.5,1.1,1.2
"J. Henson Mil - PF,C",64,250,206,3.1,5.4,0.568,1.3,2.2,0.580,0.0,7.4,1.8,2.6,4.4,1.0,0.4,2.0,0.8
"A. Roberson OKC - SG,SF",74,251,227,2.3,4.8,0.480,0.6,0.9,0.657,0.6,5.8,1.0,2.8,3.8,0.8,0.9,0.6,1.1
"D. Cunningham NO - SF,PF",77,252,279,2.0,4.3,0.459,0.6,0.9,0.672,0.5,5.1,0.7,2.0,2.7,0.8,0.5,0.4,2.0
"G. Temple Sac - PG,SG",75,253,175,2.9,7.1,0.407,1.2,1.7,0.713,1.3,8.3,0.6,2.6,3.2,2.5,1.0,0.2,2.7
"J. Lamb Cha - SG,SF",70,254,258,2.9,6.4,0.445,0.9,1.1,0.769,0.8,7.3,0.5,2.6,3.1,1.0,0.5,0.4,1.7
"B. Diaw Uta - PF,C",78,255,250,2.5,5.1,0.479,0.7,0.9,0.746,0.4,6.0,0.8,2.6,3.4,2.3,0.3,0.3,1.6
"L. Allen Ind - PF,C",72,256,294,1.8,3.6,0.485,0.5,0.7,0.660,0.0,4.0,1.6,2.6,4.3,0.8,0.2,0.5,1.3
W. Ellington Mia - SG,71,257,320,2.0,5.0,0.399,0.5,0.5,0.846,0.8,5.3,0.2,1.5,1.7,0.8,0.4,0.0,2.1
M. Scott Atl - PF,73,258,276,2.4,5.1,0.465,0.8,0.9,0.797,0.8,6.3,0.6,2.2,2.8,1.0,0.3,0.2,1.6
"T. Douglas Cle - PG,SG",27,259,395,1.7,4.4,0.398,0.7,0.9,0.800,0.7,5.0,0.2,1.1,1.3,1.5,0.6,0.1,2.0
"J. Terry Mil - PG,SG",61,260,341,1.5,3.7,0.415,0.3,0.4,0.840,0.9,4.3,0.1,0.7,0.8,1.0,0.5,0.1,1.7
"G. Green Bos - SG,SF",58,261,330,2.4,6.1,0.399,0.8,0.9,0.815,0.9,6.6,0.3,1.5,1.8,0.6,0.4,0.2,0.9
"J. Ingles Uta - SG,SF",74,262,316,1.4,3.4,0.422,0.2,0.3,0.789,0.8,3.9,0.2,1.6,1.8,1.3,0.5,0.1,1.8
"M. Speights LAC - PF,C",76,263,223,3.4,7.4,0.451,1.7,2.1,0.822,0.3,8.7,1.3,2.7,4.0,1.0,0.3,0.5,0.8
J. Green Mem - PF,75,264,242,2.7,5.7,0.480,1.2,1.5,0.765,0.1,6.8,1.4,2.8,4.2,0.8,0.6,0.4,0.8
D. Augustin Orl - PG,59,265,255,2.6,6.2,0.416,2.1,2.5,0.841,1.1,8.3,0.2,1.5,1.7,3.6,0.6,0.1,2.3
"R. Sessions Cha - PG,SG",78,266,155,3.4,7.6,0.452,2.9,3.7,0.774,0.6,10.3,0.3,2.3,2.7,3.1,0.7,0.1,1.9
"P. Pierce LAC - SF,PF",71,267,267,2.5,6.2,0.407,1.1,1.4,0.804,1.3,7.5,0.2,2.6,2.9,1.1,0.6,0.3,1.2
"M. Thornton Was - SG,SF",65,268,262,3.3,8.1,0.410,1.0,1.3,0.795,1.2,8.9,0.5,1.9,2.4,1.4,0.8,0.0,2.0
"D. Williams Mia - SF,PF",78,269,198,3.5,7.9,0.444,2.6,3.6,0.726,0.5,10.1,0.7,3.4,4.1,1.0,0.5,0.2,1.1
"R. Stuckey Ind - PG,SG",70,270,229,3.0,7.2,0.418,2.1,2.6,0.812,0.4,8.6,0.4,2.3,2.6,2.3,0.7,0.1,1.8
