Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
M. Costello Atl - PF,0,565,565,,,0.000,,,0.000,,,,,,,,,0.0
E. Singler Tor - SF,0,566,469,,,0.000,,,0.000,,,,,,,,,0.0
T. Wallace Uta - SG,0,567,543,,,0.000,,,0.000,,,,,,,,,0.0
M. Gbinije Det - SF,10,568,455,0.6,1.4,0.429,0.2,0.4,0.500,0.3,1.7,0.1,0.5,0.6,0.5,0.3,0.0,1.2
"N. Brussino Dal - SG,SF",15,569,449,0.7,1.6,0.417,0.5,0.6,0.778,0.4,2.2,0.1,0.9,1.0,0.4,0.3,0.0,0.8
"J. Stone Ind - SG,SF",0,570,624,,,0.000,,,0.000,,,,,,,,,0.0
M. Beasley Den - PG,33,571,426,0.7,1.7,0.393,0.5,0.6,0.842,0.4,2.2,0.2,0.9,1.1,0.4,0.2,0.1,0.9
B. Forbes SA - PG,0,572,573,,,0.000,,,0.000,,,,,,,,,0.0
P. Siakam Tor - PF,27,573,405,1.6,3.1,0.506,0.8,1.1,0.677,0.0,3.9,0.8,1.6,2.4,0.3,0.2,0.5,0.5
W. Hernangomez NY - C,0,574,505,,,0.000,,,0.000,,,,,,,,,0.0
J. Magette Atl - PG,0,575,604,,,0.000,,,0.000,,,,,,,,,0.0
D. Jackson Bos - PG,19,576,445,0.7,1.8,0.371,0.3,0.4,0.750,0.3,2.0,0.2,0.7,0.8,0.7,0.2,0.1,1.9
J. Warney Dal - SF,0,577,582,,,0.000,,,0.000,,,,,,,,,0.0
S. Long Phi - SF,0,578,572,,,0.000,,,0.000,,,,,,,,,0.0
K. Hornsby Dal - PG,0,579,581,,,0.000,,,0.000,,,,,,,,,0.0
Q. Cook NO - PG,0,580,520,,,0.000,,,0.000,,,,,,,,,0.0
J. Gibson Dal - SG,39,581,396,1.1,2.5,0.443,0.8,0.9,0.811,0.4,3.4,0.1,1.0,1.1,0.8,0.5,0.1,0.8
V. Hunter Chi - PF,0,582,519,,,0.000,,,0.000,,,,,,,,,0.0
J. Brown Bos - SF,69,583,260,2.9,7.1,0.404,3.1,4.6,0.666,0.6,9.3,0.5,3.6,4.1,1.3,0.6,0.4,1.0
A. Poythress Ind - SF,0,584,558,,,0.000,,,0.000,,,,,,,,,0.0
"K. Murphy Orl - PG,SG",0,585,634,,,0.000,,,0.000,,,,,,,,,0.0
D. House Was - SG,25,586,428,1.0,2.6,0.369,0.9,1.3,0.697,0.5,3.3,0.3,0.7,1.0,0.3,0.3,0.2,1.1
T. Graham Cha - SG,12,587,452,0.4,1.1,0.385,0.5,0.7,0.750,0.3,1.6,0.3,0.7,0.9,0.3,0.2,0.0,1.5
D. Jones Jr. Pho - SF,0,588,593,,,0.000,,,0.000,,,,,,,,,0.0
"C. Wright OKC - SF,PF",0,589,621,,,0.000,,,0.000,,,,,,,,,0.0
"S. Labissiere Sac - PF,C",38,590,410,1.3,2.7,0.466,0.5,0.8,0.667,0.1,3.2,0.3,1.5,1.8,0.2,0.2,0.4,0.2
S. Harrison Pho - PG,0,591,592,,,0.000,,,0.000,,,,,,,,,0.0
"R. Richards SA - PF,C",0,592,614,,,0.000,,,0.000,,,,,,,,,0.0
J. Webb III Phi - SF,0,593,576,,,0.000,,,0.000,,,,,,,,,0.0
S. Dawson NO - SF,0,594,571,,,0.000,,,0.000,,,,,,,,,0.0
M. Delaney Atl - SG,47,595,376,1.0,2.4,0.412,0.9,1.1,0.846,0.4,3.4,0.1,1.0,1.1,1.1,0.5,0.1,1.4
C. Diallo NO - PF,52,596,323,1.9,4.1,0.474,0.6,0.9,0.652,0.0,4.5,1.2,3.0,4.3,0.1,0.2,1.0,0.5
J. Roberts Mil - C,0,597,518,,,0.000,,,0.000,,,,,,,,,0.0
J. Jacobs LAL - PG,0,598,559,,,0.000,,,0.000,,,,,,,,,0.0
C. Williams Dal - SG,0,599,584,,,0.000,,,0.000,,,,,,,,,0.0
N. Laprovittola SA - PG,0,600,606,,,0.000,,,0.000,,,,,,,,,0.0
I. Cousins Sac - SG,0,601,542,,,0.000,,,0.000,,,,,,,,,0.0
M. Georges-Hunt Bos - SG,0,602,598,,,0.000,,,0.000,,,,,,,,,0.0
J. Uthoff Tor - PF,0,603,554,,,0.000,,,0.000,,,,,,,,,0.0
K. Collinsworth Dal - SG,0,604,549,,,0.000,,,0.000,,,,,,,,,0.0
Z. Auguste LAL - PF,0,605,569,,,0.000,,,0.000,,,,,,,,,0.0
R. McGruder Mia - SG,0,606,473,,,0.000,,,0.000,,,,,,,,,0.0
A. Harrison Mem - PG,38,607,393,1.2,2.9,0.423,0.9,1.1,0.810,0.3,3.7,0.1,0.8,0.9,1.2,0.3,0.1,1.6
O. White Mia - PF,0,608,547,,,0.000,,,0.000,,,,,,,,,0.0
G. Papagiannis Sac - C,46,609,408,1.6,4.0,0.405,0.2,0.4,0.588,0.0,3.5,0.9,1.6,2.5,0.1,0.3,0.4,0.1
D. Jones GS - C,16,610,446,1.3,2.4,0.526,0.6,1.3,0.500,0.0,3.1,0.6,1.3,1.8,0.3,0.1,0.4,0.6
B. Bentil Bos - PF,0,611,536,,,0.000,,,0.000,,,,,,,,,0.0
H. Ellenson Det - PF,52,612,365,1.7,3.9,0.424,0.9,1.3,0.712,0.2,4.4,0.5,1.8,2.3,0.6,0.3,0.5,0.7
B. Johnson LAC - PF,44,613,356,1.7,3.1,0.536,0.9,1.2,0.750,0.0,4.3,0.8,2.1,2.9,0.5,0.4,0.6,0.7
A. Abrines OKC - SG,78,614,221,2.8,6.4,0.440,1.2,1.4,0.841,1.4,8.2,0.4,1.3,1.7,0.8,0.7,0.1,1.7
J. Bolomboy Uta - PF,23,615,439,1.0,2.3,0.415,0.5,0.8,0.579,0.1,2.5,0.3,1.1,1.5,0.4,0.3,0.1,1.1
E. Mockevicius Bkn - C,0,616,568,,,0.000,,,0.000,,,,,,,,,0.0
"J. Jones Bos - SG,SF",0,617,577,,,0.000,,,0.000,,,,,,,,,0.0
J. Tokoto NY - SF,0,618,511,,,0.000,,,0.000,,,,,,,,,0.0
Z. Qi Hou - PF,0,619,534,,,0.000,,,0.000,,,,,,,,,0.0
R. Arcidiacono SA - PG,0,620,546,,,0.000,,,0.000,,,,,,,,,0.0
C. Randle NY - PG,24,621,430,1.2,2.8,0.418,0.3,0.4,0.778,0.4,3.0,0.1,0.6,0.7,0.8,0.3,0.1,1.6
I. Taylor Hou - PG,0,622,586,,,0.000,,,0.000,,,,,,,,,0.0
T. Walkup Chi - SF,0,623,595,,,0.000,,,0.000,,,,,,,,,0.0
S. Jankovic Mia - PF,0,624,570,,,0.000,,,0.000,,,,,,,,,0.0
D. Michineau LAC - PG,0,625,532,,,0.000,,,0.000,,,,,,,,,0.0
N. Zeisloft Ind - PG,0,626,564,,,0.000,,,0.000,,,,,,,,,0.0
G. Payton II Hou - SG,0,627,585,,,0.000,,,0.000,,,,,,,,,0.0
F. Korkmaz Phi - SG,0,628,528,,,0.000,,,0.000,,,,,,,,,0.0
T. Prince Atl - SF,74,629,282,1.9,4.5,0.421,1.4,1.9,0.743,0.5,5.8,1.0,1.8,2.8,1.1,0.6,0.3,1.0
C. Crawford Mem - SG,0,630,499,,,0.000,,,0.000,,,,,,,,,0.0
K. Tarczewski OKC - C,0,631,603,,,0.000,,,0.000,,,,,,,,,0.0
J. Huestis OKC - SF,17,632,450,0.7,1.8,0.387,0.2,0.4,0.500,0.3,1.9,0.1,0.9,1.0,0.2,0.2,0.2,0.5
W. Bynum Atl - PG,0,633,628,,,0.000,,,0.000,,,,,,,,,0.0
A. Harrison Cha - PG,29,634,442,0.6,1.5,0.364,0.5,0.8,0.609,0.2,1.8,0.3,0.8,1.1,0.2,0.3,0.0,0.6
"X. Henry Mil - SG,SF",0,635,597,,,0.000,,,0.000,,,,,,,,,0.0
B. Caboclo Tor - SF,13,636,456,0.6,1.9,0.320,0.2,0.3,0.750,0.2,1.7,0.2,0.3,0.5,0.2,0.2,0.2,0.3
L. Montero Por - SF,8,637,457,0.5,1.5,0.333,0.3,0.3,1.000,0.3,1.5,0.1,0.4,0.5,0.1,0.1,0.0,0.2
"T. Wroten Mem - PG,SG",0,638,631,,,0.000,,,0.000,,,,,,,,,0.0
